,url,fork,stars,contr_count,lang,have_site,have_releases,license
55,https://github.com/andrewjstone/rabble,9,149,1,"[('Rust', 100.0)]",False,False,Apache-2.0 license
56,https://github.com/sunchao/parquet-rs,19,148,1,"[('Rust', 99.7), ('Shell', 0.3)]",False,False,Apache-2.0 license
57,https://github.com/assert-rs/assert_cli,21,147,1,"[('Rust', 100.0)]",False,False,
58,https://github.com/tezedge/tezedge,57,147,1,"[('Rust', 98.0), ('Python', 1.3)]",False,False,MIT license
59,https://github.com/andybarron/app-dirs-rs,30,146,1,"[('Rust', 100.0)]",False,False,
60,https://github.com/jwilm/racerd,24,135,1,"[('Rust', 91.9), ('Python', 6.7)]",False,False,Apache-2.0 license
61,https://github.com/raymontag/rust-keepass,7,134,1,"[('Rust', 100.0)]",False,False,ISC license
62,https://github.com/johannhof/markdown.rs,43,134,1,"[('Rust', 100.0)]",False,False,
63,https://github.com/InQuicker/kaws,11,132,1,"[('Rust', 72.3), ('HCL', 26.8), ('Makefile', 0.9)]",False,False,MIT license
64,https://github.com/wycats/rust-activesupport,5,132,1,"[('Rust', 100.0)]",False,False,
65,https://github.com/TomBebbington/js.rs,12,132,1,"[('Rust', 99.0), ('JavaScript', 1.0)]",False,False,MIT license
66,https://github.com/ntrupin/abstractml,15,130,1,"[('Rust', 55.0), ('JavaScript', 43.8), ('HTML', 1.2)]",False,False,Apache-2.0 license
67,https://github.com/acidnik/ppcp,9,130,1,"[('Rust', 100.0)]",False,False,MIT license
68,https://github.com/carllerche/syncbox,14,130,1,"[('Rust', 99.5), ('Shell', 0.5)]",False,False,
69,https://github.com/harryfei/sugar-rs,6,130,1,"[('Rust', 100.0)]",False,False,
70,https://github.com/passcod/catflap,4,140,1,"[('Rust', 97.5), ('JavaScript', 2.5)]",False,False,
71,https://github.com/quininer/sarkara,9,140,1,"[('Rust', 100.0)]",False,False,MIT license
72,https://github.com/OctaneWeb/Octane,5,140,1,"[('Rust', 99.5)]",False,False,MIT license
73,https://github.com/ptal/oak,14,139,1,"[('Rust', 100.0)]",False,False,Apache-2.0 license
74,https://github.com/stevedonovan/runner,5,139,1,"[('Rust', 100.0)]",False,False,MIT license
75,https://github.com/IronCoreLabs/recrypt-rs,23,139,1,"[('Rust', 99.8), ('Nix', 0.2)]",False,False,AGPL-3.0 license
76,https://github.com/zetok/tox,8,139,1,"[('Rust', 99.4), ('Shell', 0.6)]",False,False,GPL-3.0 license
77,https://github.com/orf/dirscan,7,137,1,"[('Rust', 98.9), ('Dockerfile', 1.1)]",False,False,MIT license
78,https://github.com/mithi/rusty-genes,14,136,1,"[('Rust', 70.8), ('Python', 29.2)]",False,False,MIT license
